chart_week,rank,song_id,artist_id,is_new,weeks,peak_pos,title,artist
2000-01-21,42,6x4tKaOzfNJpEJHySoiJcs,46lnlnlU0dXTDpoAUmH6Qx,False,22,3,Mambo No. 5 (A Little Bit Of...),Lou Bega
2000-01-21,43,0R8YkUopqrgLgR6WDowjYb,4mxWe1mtYIYfP040G38yvS,False,11,43,Pop A Top,Alan Jackson
2000-01-21,44,7K8Ew4j9qpkqEFlTdMdoqC,2IBPIcSkvQZyoaVfoyZKE8,False,6,19,Dancin',Guy
2000-01-21,45,6YYd5MLpu45J0uLrMdivF7,50NoVNy9GU1lCrDV8iGpyu,False,14,33,Got Your Money,Ol' Dirty Bastard Featuring Kelis
2000-01-21,46,4NTn0Yo8hTGW5tbBANBzfh,3Mcii5XWf6E0lrY3Uky4cA,False,8,35,You Can Do It,Ice Cube Featuring Mack 10 & Ms. Toi
2000-01-21,47,1aDoyG4LiKT3o4ZrQK1auW,3qbnxnvUqR14MJ9g8QwZJK,False,6,47,Smile,Lonestar
2000-01-21,48,6t8JpJtI0PgVRSuMDGWZlH,7r8RF1tN2A4CiGEplkp1oP,False,7,48,None Of Ur Friends Business,Ginuwine
2000-01-21,49,7pXv5QP8pahWmSw4ccaDKw,3Ay15wt0QChT4Kapsuw5Jt,False,15,31,When I Said I Do,Clint Black
2000-01-21,50,1m2xMsxbtxv21Brome189p,3zTOe1BtyTkwNvYZOxXktX,False,4,50,I Wanna Know,Joe
2000-01-21,51,3VZMAx8GdrO73kvTZDD8rU,4MT97VeycuegSicrrphisJ,False,12,30,If You Love Me,Mint Condition
2000-01-21,52,00FROhC5g4iJdax5US8jRr,59wfkuBoNyhDMQGCljbUbA,False,18,2,Satisfy You,Puff Daddy Featuring R. Kelly
2000-01-21,53,1M2nd8jNUkkwrc1dgBPTJz,2HcwFjNelS49kFbfvMxQYw,False,10,53,Angels,Robbie Williams
2000-01-21,54,1yKDl9K9lrbIFSpPBzEQtb,7slfeZO9LsJbWgpkIoXBUJ,False,10,39,Shake Your Bon-Bon,Ricky Martin
2000-01-21,55,72MSivvHmzBcpSvcHRyf9b,0dlwjJe4kg9TgOMN184bJF,False,2,55,Back At One,Mark Wills
2000-01-21,56,6mZI2vbLv1UvlclwDQ4uvc,2hWr3AjjKOCVmWcwvuT4uM,False,5,56,No More Rain (In This Cloud),Angie Stone
2000-01-21,57,0H2jfzzREOr9MF95HB7ry6,4d3yvTptO48nOYTPBcPFZC,False,3,57,Love Is Blind,Eve Featuring Faith Evans
2000-01-21,58,6EbHq1fhCZePddEdD5ppui,6uGKydhYXrVOEXM6QbVzyH,False,24,58,Sexual (Li Da Di),Amber
2000-01-21,59,49bDIpHDL6rjqemVbFHry5,0IF46mUS8NXjgHabxk2MCM,False,8,54,Caught Out There,Kelis
2000-01-21,60,7w57O4o0xCTn9YpKuaPZDd,4KWTAlx2RvbpseOGMEmROg,False,5,60,The Great Beyond,R.E.M.
2000-01-21,61,1ZozJfi8u9cO2Ob8KwiwNT,43sZBwHjahUvgbx1WNIkIz,False,20,52,Higher,Creed
2000-01-21,62,15YtixaZ1VgE3fPfXahlzD,0WsQby2bU6kzZcvikYRdms,False,16,23,Stay The Night,IMx
2000-01-21,63,3Q5xu8VzdwYR9dXHniCU8o,1XkoF8ryArs86LZvFOkbyr,False,11,63,Deep Inside,Mary J. Blige
2000-01-21,64,4T7fVN4ZOFE3JoGyaxZL6O,4uN3DsfENc7dp0OLO0FEIb,False,2,64,Falls Apart,Sugar Ray
2000-01-21,65,1sxUaLi0G2vB7dl4ogtCxH,6TcnmlCSxihzWOQJ8k0rNS,True,1,65,Never Let You Go,Third Eye Blind
2000-01-21,66,7h4FywzqhgZrrvpiLDJ2vw,6I3M904Y9IwgDjrQ9pANiB,False,5,7,Auld Lang Syne,Kenny G
2000-01-21,67,7xFy1kfgGWJWTpx1vSHBLi,21dVknSLCsK37cWozWDZZS,True,1,67,It Feels So Good,Sonique
2000-01-21,68,4EIzsbsVOzfLwyIvfsRQ8H,3nFkdlSjzX9mRTtwJOzDYB,False,2,68,Do It Again (Put Ya Hands Up),Jay-Z Featuring Beanie Sigel & Amil
2000-01-21,69,3SsO5zbbDfcU95HD0ygg7c,2PfspWeqOGkYvMjgoOTqmJ,False,13,21,"4, 5, 6",Sole Featuring JT Money & Kandi
2000-01-21,70,4cKGldbhGJniI8BrB3K6tb,6Hizgjo92FnMp8wGaRUNTn,True,1,70,Everything You Want,Vertical Horizon
2000-01-21,71,7nDtDxsKJ3fho8xEmU65JJ,3ZotbHeyVQKxQCPDJuQ4SU,True,1,71,Breathe And Stop,Q-Tip
2000-01-21,72,0GkrLimxhiGAGb2lhS2arM,61whxt4O1XSL0DNux0eTtp,False,5,69,One Night Stand,J-Shin Featuring LaTocha Scott
2000-01-21,73,6UFpbLu6DpxTZzCHlb1A1j,3dEmtnoOnNNor8HDMq8THn,False,19,55,All Things Considered,Yankee Grey
2000-01-21,74,3Th5HBAlRZF0oN31ubxHA9,4MPkNgar5uTd8Sqvrr7par,False,8,74,"Live, Laugh, Love",Clay Walker
2000-01-21,75,7iXF2W9vKmDoGAhlHdpyIa,6DPYiyq5kWVQS4RGwxzPC7,True,1,75,Forgot About Dre,Dr. Dre Featuring Eminem
