song_id,title,duration_ms,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
6zeDYmP3ARpURvpK29Q09P,Someday,,,,,,,,,,,,,
5BeY2wY4rGFD1Q3aXO83Bv,My Best Friend,279866.0,53.0,0.12,0.444,0.484,0.0,9.0,0.135,-8.311,1.0,0.0289,147.715,0.263
5zmaypMaWb21FUGBxbw8hT,Black Balloon,249533.0,59.0,0.057,0.339,0.625,0.000102,1.0,0.229,-8.57,1.0,0.028,104.68,0.334
5z17Oquw4RhTv8VaqOvDt0,Got To Get It,174666.0,45.0,0.139,0.761,0.782,0.0,10.0,0.0648,-6.58,0.0,0.0601,101.885,0.766
6sXDEs7z0LLitIPnPBJ4QM,He Didn't Have To Be,282933.0,45.0,0.144,0.508,0.39,2.16e-06,9.0,0.241,-10.079,1.0,0.0284,72.903,0.197
6x4tKaOzfNJpEJHySoiJcs,Mambo No. 5 (A Little Bit Of...),220293.0,74.0,0.103,0.622,0.807,0.0,5.0,0.306,-6.752,0.0,0.408,174.06,0.892
0R8YkUopqrgLgR6WDowjYb,Pop A Top,,,,,,,,,,,,,
7K8Ew4j9qpkqEFlTdMdoqC,Dancin',248626.0,31.0,0.117,0.798,0.703,0.0,10.0,0.121,-4.05,0.0,0.135,101.015,0.792
6YYd5MLpu45J0uLrMdivF7,Got Your Money,239546.0,64.0,0.0516,0.934,0.459,0.0,1.0,0.222,-7.654,1.0,0.189,103.04,0.697
4NTn0Yo8hTGW5tbBANBzfh,You Can Do It,259088.0,64.0,0.000931,0.947,0.853,0.0,1.0,0.0502,-4.489,0.0,0.164,99.887,0.887
1aDoyG4LiKT3o4ZrQK1auW,Smile,213760.0,42.0,0.234,0.467,0.492,0.0,7.0,0.113,-8.908,1.0,0.0295,74.945,0.156
6t8JpJtI0PgVRSuMDGWZlH,None Of Ur Friends Business,365800.0,49.0,0.243,0.83,0.414,0.0,9.0,0.627,-11.136,0.0,0.197,99.234,0.556
7pXv5QP8pahWmSw4ccaDKw,When I Said I Do,268786.0,37.0,,,,,,,,,,,
1m2xMsxbtxv21Brome189p,I Wanna Know,296693.0,65.0,0.26,0.725,0.487,1.09e-05,8.0,0.431,-5.959,0.0,0.0368,136.086,0.599
3VZMAx8GdrO73kvTZDD8rU,If You Love Me,385719.0,37.0,0.606,0.442,0.585,5.85e-05,6.0,0.185,-6.012,1.0,0.0305,118.736,0.233
00FROhC5g4iJdax5US8jRr,Satisfy You,288266.0,48.0,0.591,0.764,0.594,0.0,6.0,0.145,-10.05,1.0,0.185,87.261,0.695
1M2nd8jNUkkwrc1dgBPTJz,Angels,265000.0,75.0,0.156,0.429,0.594,4.95e-06,4.0,0.1,-6.251,1.0,0.0277,150.22,0.236
1yKDl9K9lrbIFSpPBzEQtb,Shake Your Bon-Bon,192333.0,41.0,0.0942,0.638,0.937,0.0,0.0,0.327,-4.642,1.0,0.0444,100.03,0.762
72MSivvHmzBcpSvcHRyf9b,Back At One,246493.0,36.0,0.174,0.627,0.451,0.0,11.0,0.0634,-9.462,1.0,0.0275,129.872,0.291
6mZI2vbLv1UvlclwDQ4uvc,No More Rain (In This Cloud),283701.0,47.0,0.567,0.698,0.662,1.44e-06,7.0,0.0876,-7.997,0.0,0.0861,141.666,0.815
0H2jfzzREOr9MF95HB7ry6,Love Is Blind,260306.0,40.0,0.263,0.688,0.815,0.0,0.0,0.151,-4.761,1.0,0.321,176.087,0.587
6EbHq1fhCZePddEdD5ppui,Sexual (Li Da Di),226226.0,38.0,0.000192,0.623,0.898,0.303,4.0,0.138,-6.604,0.0,0.0309,130.991,0.786
49bDIpHDL6rjqemVbFHry5,Caught Out There,291706.0,45.0,0.0511,0.848,0.691,0.0081,7.0,0.0723,-6.775,1.0,0.093,92.996,0.922
7w57O4o0xCTn9YpKuaPZDd,The Great Beyond,307000.0,49.0,0.125,0.329,0.747,2.08e-06,10.0,0.197,-6.411,1.0,0.0297,109.702,0.177
1ZozJfi8u9cO2Ob8KwiwNT,Higher,316733.0,77.0,5.15e-05,0.459,0.83,0.00014,2.0,0.206,-6.254,1.0,0.0364,155.827,0.431
15YtixaZ1VgE3fPfXahlzD,Stay The Night,219466.0,26.0,0.0111,0.585,0.709,0.0,11.0,0.202,-5.604,1.0,0.0611,183.22,0.726
3Q5xu8VzdwYR9dXHniCU8o,Deep Inside,326000.0,32.0,0.0331,0.767,0.565,2.94e-06,0.0,0.0781,-6.788,1.0,0.035,129.251,0.672
4T7fVN4ZOFE3JoGyaxZL6O,Falls Apart,,,,,,,,,,,,,
1sxUaLi0G2vB7dl4ogtCxH,Never Let You Go,237240.0,62.0,0.0814,0.728,0.94,0.000162,4.0,0.109,-5.034,1.0,0.0368,113.76,0.967
7h4FywzqhgZrrvpiLDJ2vw,Auld Lang Syne,293346.0,41.0,0.111,0.16,0.296,0.847,0.0,0.101,-11.86,1.0,0.0348,62.33,0.0388
7xFy1kfgGWJWTpx1vSHBLi,It Feels So Good,160973.0,76.0,0.0034,0.704,0.82,0.000134,5.0,0.261,-5.663,0.0,0.0282,128.007,0.84
4EIzsbsVOzfLwyIvfsRQ8H,Do It Again (Put Ya Hands Up),278533.0,37.0,0.166,0.771,0.826,0.0,7.0,0.358,-7.458,1.0,0.261,98.368,0.338
3SsO5zbbDfcU95HD0ygg7c,"4, 5, 6",255760.0,22.0,0.0492,0.816,0.654,0.0,11.0,0.0435,-3.596,0.0,0.0893,79.974,0.775
4cKGldbhGJniI8BrB3K6tb,Everything You Want,257066.0,60.0,0.0517,0.636,0.761,0.0,3.0,0.0642,-6.389,0.0,0.0306,93.896,0.736
7nDtDxsKJ3fho8xEmU65JJ,Breathe And Stop,243866.0,45.0,0.0144,0.881,0.83,0.00771,7.0,0.0626,-4.563,1.0,0.172,98.793,0.765
0GkrLimxhiGAGb2lhS2arM,One Night Stand,274360.0,23.0,0.111,0.811,0.56,0.0,1.0,0.137,-6.991,0.0,0.18,125.994,0.537
6UFpbLu6DpxTZzCHlb1A1j,All Things Considered,159666.0,28.0,0.237,0.656,0.746,0.0,8.0,0.0214,-5.379,1.0,0.0325,140.865,0.96
3Th5HBAlRZF0oN31ubxHA9,"Live, Laugh, Love",246266.0,31.0,0.195,0.647,0.746,0.0,2.0,0.0271,-10.597,1.0,0.0437,98.991,0.946
7iXF2W9vKmDoGAhlHdpyIa,Forgot About Dre,222293.0,76.0,0.0827,0.924,0.74,0.0,8.0,0.163,-1.299,1.0,0.0774,133.974,0.621
6OQrmEIK8KOOVcSoSaEo40,What's My Name,232333.0,55.0,0.0301,0.647,0.98,8.4e-05,7.0,0.045,-3.463,1.0,0.356,188.302,0.4
4oPNN7syJYSjzDhRerF966,Untitled (How Does It Feel),430800.0,56.0,0.16,0.838,0.304,0.0267,4.0,0.0828,-9.975,0.0,0.0626,112.618,0.221
