song_id,artist_id
49bDIpHDL6rjqemVbFHry5,0IF46mUS8NXjgHabxk2MCM
7w57O4o0xCTn9YpKuaPZDd,4KWTAlx2RvbpseOGMEmROg
1ZozJfi8u9cO2Ob8KwiwNT,43sZBwHjahUvgbx1WNIkIz
15YtixaZ1VgE3fPfXahlzD,0WsQby2bU6kzZcvikYRdms
3Q5xu8VzdwYR9dXHniCU8o,1XkoF8ryArs86LZvFOkbyr
3Q5xu8VzdwYR9dXHniCU8o,3PhoLpVuITZKcymswpck5b
4T7fVN4ZOFE3JoGyaxZL6O,4uN3DsfENc7dp0OLO0FEIb
1sxUaLi0G2vB7dl4ogtCxH,6TcnmlCSxihzWOQJ8k0rNS
7h4FywzqhgZrrvpiLDJ2vw,6I3M904Y9IwgDjrQ9pANiB
7xFy1kfgGWJWTpx1vSHBLi,21dVknSLCsK37cWozWDZZS
7xFy1kfgGWJWTpx1vSHBLi,5PlfkPxwCpRRWQJBxCa0By
7xFy1kfgGWJWTpx1vSHBLi,5xtqw2B8z8JGfDYi2eAZHI
4EIzsbsVOzfLwyIvfsRQ8H,3nFkdlSjzX9mRTtwJOzDYB
4EIzsbsVOzfLwyIvfsRQ8H,6NzM38IkXdbQsQ4qW9CG7z
4EIzsbsVOzfLwyIvfsRQ8H,0tCtGc5vt29zFZp6KXzN50
3SsO5zbbDfcU95HD0ygg7c,2PfspWeqOGkYvMjgoOTqmJ
3SsO5zbbDfcU95HD0ygg7c,76THqVWJ9dOZ34NjpahCwe
3SsO5zbbDfcU95HD0ygg7c,2w6lBeql3oaEEZjnmOGbiF
4cKGldbhGJniI8BrB3K6tb,6Hizgjo92FnMp8wGaRUNTn
7nDtDxsKJ3fho8xEmU65JJ,3ZotbHeyVQKxQCPDJuQ4SU
0GkrLimxhiGAGb2lhS2arM,61whxt4O1XSL0DNux0eTtp
0GkrLimxhiGAGb2lhS2arM,0reX7t2M37jLqLy1Nj1FpT
6UFpbLu6DpxTZzCHlb1A1j,3dEmtnoOnNNor8HDMq8THn
3Th5HBAlRZF0oN31ubxHA9,4MPkNgar5uTd8Sqvrr7par
3Th5HBAlRZF0oN31ubxHA9,5xqbOE3oE6zBEMfpJ3B4MD
7iXF2W9vKmDoGAhlHdpyIa,6DPYiyq5kWVQS4RGwxzPC7
7iXF2W9vKmDoGAhlHdpyIa,7dGJo4pcD2V6oG8kP0tJRR
6OQrmEIK8KOOVcSoSaEo40,1HwM5zlC5qNWhJtM00yXzG
4oPNN7syJYSjzDhRerF966,336vr2M3Va0FjyvB55lJEd
3iR9PLIjOlmi212gyGLPYe,7mPcfx7PhnBh6n4HMCd61A
43z6scIZU2QcEieMQFAJRG,0lJlKQvuM2Sd9DPPyUXcHg
47tVV7s6UzdcyTJBoIW7aX,37W8SKV5Vc8lcGtdyWCA5m
6wCbHb0QEEdka3ymfImn4l,55Aa2cqylxrFIXC767Z865
5q186AzhWeOEoFnApajHgR,36HvjE9pV91jEjO1qBRidS
5FdmujV6PtMOHa23FoH67Z,7r8RF1tN2A4CiGEplkp1oP
5FdmujV6PtMOHa23FoH67Z,4iwJZqoo4TmCIiISdHdhbQ
5FdmujV6PtMOHa23FoH67Z,08p7B5OtcUuVblvkQIlBhJ
5FdmujV6PtMOHa23FoH67Z,5aEWnrN8h3MhuFUPRfaVuy
3QV7NYkrmV0Q0IHdFJw9hO,3grHWM9bx2E9vwJCdlRv9O
2zS8FkQaSNHAIpqePh95JB,78SHxLdtysAXgywQ4vE0Oa
5SEBSAio1N77Vbrj1cAEGb,165ZgPlLkK7bf5bDoFc6Sb
5SEBSAio1N77Vbrj1cAEGb,4VmEWwd8y9MCLwexFMdpwt
1DSJNBNhGZCigg9ll5VeZv,26dSoYclwsYLMAKD3tpOr4
3iZizHVmWHdaJbvcU65S6x,1Y8cdNmUJH7yBTd9yOvr5i
4u6U5nwYHok67BBymI9ldh,3THMgU4KdL7LlO5TEREs2g
19FsxX4RthRMZGfXkImdCb,5me0Irg2ANcsgc93uaYrpb
65i1UPsUtPlEVzewEZR6sY,0ZzYDST6Dib7iYd8hmcLcH
1wsRitfRRtWyEapl0q22o8,2d0hyoQ5ynDBnkvAbJKORj
6sbXGUn9V9ZaLwLdOfpKRE,5rSXSAkZ67PYJSvpUpkOr7
7mCQK9YB25WZw1saUjfL4e,4Y7tXHSEejGu1vQ9bwDdXW
6IPJ7LeWIOhxPW8Sq3nIGc,165ZgPlLkK7bf5bDoFc6Sb
03qVg9HRUJystE3EtupDei,601893mmW5hl1FBOykWZHG
03qVg9HRUJystE3EtupDei,4iwJZqoo4TmCIiISdHdhbQ
0M3ZIWNcizkhYFvn6RuCEz,5IFCkqu9J6xdWeYMk5I889
0M3ZIWNcizkhYFvn6RuCEz,6Ff53KvcvAj5U7Z1vojB5o
5YlH7CeaNAoRKsaSzTXojM,26T4yOaOoFJvUvxR87Y9HO
5YlH7CeaNAoRKsaSzTXojM,5Bj9jhPkLNyIDxkHOf2fpc
59xpdlaIK1l5hiYP1KsBxK,41qil2VaGbD194gaEcmmyx
59xpdlaIK1l5hiYP1KsBxK,4cynDosMoBQcVD9UKLq8eX
